work,character,sentiment
朝花夕拾,鲁迅,negative
朝花夕拾,范爱农,neutral
朝花夕拾,二十四孝,neutral
朝花夕拾,明白,neutral
朝花夕拾,郭巨,neutral
朝花夕拾,老莱子,neutral
朝花夕拾,老虎,negative
朝花夕拾,陈莲河,negative
朝花夕拾,藤野,negative
朝花夕拾,山海经,negative
朝花夕拾,祖母,negative
朝花夕拾,石印,negative
朝花夕拾,玉历钞,positive
朝花夕拾,吴友如,neutral
朝花夕拾,西医,negative
朝花夕拾,胡子,positive
朝花夕拾,阿长,negative
朝花夕拾,老和尚,negative
朝花夕拾,和蔼,negative
朝花夕拾,老妈子,negative
朝花夕拾,高明,positive
朝花夕拾,曹娥,negative
朝花夕拾,子英,negative
朝花夕拾,麻叔谋,positive
朝花夕拾,半天空,positive
朝花夕拾,帝君,negative
朝花夕拾,阎王,positive
朝花夕拾,木莲,negative
朝花夕拾,何首乌,negative
朝花夕拾,孔子,negative
朝花夕拾,渊博,negative
朝花夕拾,和尚,negative
朝花夕拾,阿妈,negative
朝花夕拾,阎罗,positive
朝花夕拾,桂树,negative
朝花夕拾,陈源,negative
朝花夕拾,徐伯荪,negative
朝花夕拾,麻胡,positive
朝花夕拾,小学生,neutral
朝花夕拾,言语,positive
朝花夕拾,宾客,neutral
朝花夕拾,薄冰,negative
朝花夕拾,白发,negative
朝花夕拾,桑椹,negative
朝花夕拾,陶庵梦,negative
朝花夕拾,寻赤,neutral
朝花夕拾,老先生,neutral
朝花夕拾,麻祜,positive
朝花夕拾,王比,negative
朝花夕拾,麻祜庙,negative
朝花夕拾,常维钧,negative
朝花夕拾,纪常,positive
朝花夕拾,郑绩,positive
朝花夕拾,俞葆真,positive
朝花夕拾,从军,positive
朝花夕拾,陈叔宝,neutral
朝花夕拾,宫殿,positive
朝花夕拾,莱子,neutral
朝花夕拾,龙光斋,neutral
朝花夕拾,戴高帽子,positive
朝花夕拾,许广记,negative
朝花夕拾,阎罗王,negative
朝花夕拾,高帽子,positive
朝花夕拾,东岳庙,negative
朝花夕拾,牛首阿,positive
朝花夕拾,师爷,negative
朝花夕拾,周旋,negative
朝花夕拾,芦根,negative
朝花夕拾,弓起,neutral
朝花夕拾,蒋氏,negative
朝花夕拾,屠伯,negative
朝花夕拾,墨猴,negative
朝花夕拾,恩铭,positive
朝花夕拾,徐锡麟,positive
朝花夕拾,德清,negative
朝花夕拾,沈四,neutral
朝花夕拾,阿祥,negative
朝花夕拾,赫胥黎,negative
朝花夕拾,陶元庆,negative
朝花夕拾,田涉,neutral
朝花夕拾,春夫,negative
朝花夕拾,隋炀帝,negative
朝花夕拾,洪水猛兽,positive
朝花夕拾,韶光,neutral
朝花夕拾,文星高照,positive
朝花夕拾,光辉,negative
朝花夕拾,文昌,positive
朝花夕拾,雷公,positive
朝花夕拾,布满,positive
朝花夕拾,阿而志跋,negative
朝花夕拾,阿尔志跋,negative
朝花夕拾,黄香,negative
朝花夕拾,怀桔,negative
朝花夕拾,严冬,negative
朝花夕拾,老莱娱亲,neutral
朝花夕拾,朱熹,neutral
朝花夕拾,小田海,negative
朝花夕拾,老莱,neutral
朝花夕拾,邓伯道,neutral
朝花夕拾,母尝,negative
朝花夕拾,巨谓妻,negative
朝花夕拾,刘向,neutral
朝花夕拾,柴米,negative
朝花夕拾,多得很,neutral
朝花夕拾,文公,neutral
朝花夕拾,子孙,neutral
朝花夕拾,紫红,negative
朝花夕拾,黄蜂,negative
朝花夕拾,云霄,negative
朝花夕拾,纳凉,neutral
朝花夕拾,小盒子,neutral
朝花夕拾,金光,negative
朝花夕拾,罗汉,neutral
朝花夕拾,向东,negative
朝花夕拾,梅花鹿,negative
朝花夕拾,方正,neutral
朝花夕拾,东方朔,negative
朝花夕拾,宿儒,negative
朝花夕拾,桂花树,negative
朝花夕拾,太久,positive
朝花夕拾,仁远,negative
朝花夕拾,仁斯仁,negative
朝花夕拾,龙王,negative
朝花夕拾,寻梢,neutral
朝花夕拾,寻美髯,neutral
朝花夕拾,梁山泊,neutral
朝花夕拾,臻臻至至,neutral
朝花夕拾,光荣,neutral
朝花夕拾,梅姑庙,neutral
朝花夕拾,明瓦窗,negative
朝花夕拾,祝贺,negative
朝花夕拾,真阿长,negative
朝花夕拾,洪秀全,positive
朝花夕拾,马缨花,neutral
朝花夕拾,陆玑,negative
朝花夕拾,毛诗,negative
朝花夕拾,连阿长,negative
朝花夕拾,蓝布,negative
朝花夕拾,帝江,positive
朝花夕拾,尔雅,negative
朝花夕拾,石斋,negative
朝花夕拾,仁厚,positive
朝花夕拾,高耸,negative
朝花夕拾,富士山,negative
朝花夕拾,盘得平,negative
朝花夕拾,小姑娘,negative
朝花夕拾,朱舜,negative
朝花夕拾,美其名曰,negative
朝花夕拾,严九郎,negative
朝花夕拾,太模胡,neutral
朝花夕拾,连文,positive
朝花夕拾,托辞,neutral
朝花夕拾,寻藤野,negative
朝花夕拾,马虎子,positive
朝花夕拾,胡人,positive
朝花夕拾,唐人,negative
朝花夕拾,李济翁,negative
朝花夕拾,胡来,positive
朝花夕拾,望风,positive
朝花夕拾,武宗朝,negative
朝花夕拾,闾阎,negative
朝花夕拾,薛尹,negative
朝花夕拾,魏志,negative
朝花夕拾,张文远,negative
朝花夕拾,李丕,negative
朝花夕拾,胡文炳,negative
朝花夕拾,纪常郑,positive
朝花夕拾,古之孝,neutral
朝花夕拾,子夏,negative
朝花夕拾,孔门,negative
朝花夕拾,木兰,positive
朝花夕拾,隋史,positive
朝花夕拾,隋书,positive
朝花夕拾,王鼎,positive
朝花夕拾,东渐,positive
朝花夕拾,道德,positive
朝花夕拾,李娥,negative
朝花夕拾,陈村,negative
朝花夕拾,李锡,negative
朝花夕拾,李先生,negative
朝花夕拾,老太爷,neutral
朝花夕拾,汉朝人,positive
朝花夕拾,石室里,positive
朝花夕拾,帝王,positive
朝花夕拾,嘉祥县,negative
朝花夕拾,武氏石,negative
