work,character,position,relative_position,sentiment_score,smoothed_sentiment_score,sentiment_words_count
朝花夕拾,鲁迅,1,0.9523809523809524,3.0,5.194444444444445,4
朝花夕拾,鲁迅,2,1.9047619047619049,7.388888888888889,4.7629629629629635,12
朝花夕拾,鲁迅,8,7.6190476190476195,3.9,4.667724867724868,30
朝花夕拾,鲁迅,72,68.57142857142857,2.7142857142857144,4.488712522045855,21
朝花夕拾,鲁迅,86,81.9047619047619,6.851851851851852,5.038385724660235,18
朝花夕拾,鲁迅,93,88.57142857142857,5.549019607843137,5.331154684095861,17
朝花夕拾,鲁迅,105,100.0,3.592592592592592,4.570806100217864,9
朝花夕拾,范爱农,2,1.9047619047619049,7.388888888888889,7.212962962962963,12
朝花夕拾,范爱农,84,80.0,7.037037037037036,6.242985409652076,9
朝花夕拾,范爱农,85,80.95238095238095,4.303030303030304,6.063973063973063,22
朝花夕拾,范爱农,86,81.9047619047619,6.851851851851852,5.359319692653027,18
朝花夕拾,范爱农,88,83.80952380952381,4.923076923076923,5.887464387464387,13
朝花夕拾,二十四孝,2,1.9047619047619049,7.388888888888889,6.001461988304094,12
朝花夕拾,二十四孝,7,6.666666666666667,4.614035087719299,5.900974658869395,19
朝花夕拾,二十四孝,9,8.571428571428571,5.7,4.707852965747702,10
朝花夕拾,二十四孝,12,11.428571428571429,3.8095238095238093,4.472310405643738,14
朝花夕拾,二十四孝,38,36.19047619047619,3.907407407407407,4.794532627865961,18
朝花夕拾,二十四孝,40,38.095238095238095,6.666666666666666,5.3580246913580245,17
朝花夕拾,二十四孝,43,40.95238095238095,5.5,5.166666666666667,10
朝花夕拾,二十四孝,45,42.857142857142854,3.333333333333333,4.416666666666666,10
朝花夕拾,明白,8,7.6190476190476195,3.9,3.216666666666667,30
朝花夕拾,明白,11,10.476190476190476,2.533333333333333,3.662962962962963,10
朝花夕拾,明白,55,52.38095238095239,4.555555555555555,3.8907407407407404,3
朝花夕拾,明白,58,55.23809523809524,4.583333333333333,3.9212962962962963,16
朝花夕拾,明白,65,61.904761904761905,2.625,4.7484567901234565,8
朝花夕拾,明白,84,80.0,7.037037037037036,3.998456790123457,9
朝花夕拾,明白,90,85.71428571428571,2.3333333333333335,4.973129992737836,15
朝花夕拾,明白,93,88.57142857142857,5.549019607843137,4.59041394335512,17
朝花夕拾,明白,96,91.42857142857143,5.888888888888889,5.718954248366013,9
朝花夕拾,郭巨,8,7.6190476190476195,3.9,4.4427536231884055,30
朝花夕拾,郭巨,10,9.523809523809524,4.9855072463768115,3.8062801932367147,23
朝花夕拾,郭巨,11,10.476190476190476,2.533333333333333,5.214613526570048,10
朝花夕拾,郭巨,39,37.142857142857146,8.125,5.7749999999999995,8
朝花夕拾,郭巨,40,38.095238095238095,6.666666666666666,6.877415458937198,17
朝花夕拾,郭巨,41,39.04761904761905,5.840579710144928,5.354267310789051,23
朝花夕拾,郭巨,44,41.904761904761905,3.5555555555555554,4.6980676328502415,9
朝花夕拾,OVERALL,1,0.9523809523809524,3.0,5.194444444444445,4
朝花夕拾,OVERALL,2,1.9047619047619049,7.388888888888889,5.624579124579125,12
朝花夕拾,OVERALL,3,2.857142857142857,6.484848484848484,6.009194509194509,11
朝花夕拾,OVERALL,4,3.8095238095238098,4.153846153846154,5.212898212898213,13
朝花夕拾,OVERALL,5,4.761904761904762,5.0,5.014245014245014,12
