word,count
中国,180
学生,145
一九二五年,138
章士钊,89
发表,88
北京,80
师大,76
青年,72
自然,62
周刊,54
评论,53
教员,52
闲话,51
学校,47
一点,47
反对,47
副刊,44
五月,43
一种,43
东西,42
作者,40
读经,40
京报,39
实在,38
北大,38
学者,37
本篇,36
参看,36
风潮,36
校长,35
最初,35
教授,35
鲁迅,34
陈西滢,34
流言,34
终于,33
几个,32
可惜,32
女子,32
宣言,32
语见,32
十二月,31
也许,31
有人,30
大学,30
公理,30
希望,30
一月,29
六月,29
八月,29
将来,27
日本,26
思想,25
总长,24
批评,24
教育,23
杨荫,23
段祺瑞,23
三月,23
大学生,23
革命,23
英国,23
社会,22
文章,22
这是,22
饭店,22
西滢,22
外国,22
国民,21
文字,21
清代,21
精神,21
晨报,21
甲寅,21
记得,20
事情,20
遇见,19
不知,19
我国,19
出版,19
第一卷,19
组织,19
四月,18
所说,18
中说,18
古人,18
署名,18
一日,18
上海,18
作品,18
一篇,17
民国,17
地方,17
发生,17
七日,17
北京大学,17
作家,17
一文,17
牺牲,17
几句,17
帝国主义,17
第一,17
公平,17
救国,17
工人,17
情形,16
十二日,16
研究,16
朋友,16
教育部,16
世界,16
开会,16
文明,16
群众,16
想到,15
一句,15
呈文,15
仿佛,15
这才,15
这回,15
一年,15
师范大学,15
种种,15
办法,15
碰壁,15
活动,15
永远,15
天下,15
外国人,15
九月,15
女大,15
文学家,15
职员,14
至少,14
本书,14
十一月,14
称为,14
同胞,14
吃饭,14
只好,14
明白,14
生活,14
校务,14
北洋政府,14
胡同,14
教育界,14
诬蔑,14
二月,14
乃是,14
创作,14
意见,13
开除,13
报上,13
文艺,13
向来,13
一九二四年,13
国立,13
若干,13
北洋军阀,13
法国,13
论语,13
民众,13
读书,13
本来,13
语出,13
听到,13
美国,13
俄国,13
莽原,13
创刊,13
手段,13
陈源,13
宋代,13
正人君子,13
第二卷,13
七月,13
维持会,13
孔子,13
发见,12
孩子,12
十日,12
事件,12
历史,12
黑暗,12
便是,12
压迫,12
六年,12
战士,12
中庸,12
态度,12
史记,12
著作,12
参加,12
先前,12
说话,12
提出,12
一回,12
尊敬,12
女士,12
胡适,12
徐志摩,12
攻击,12
报纸,12
长城,12
改革,12
未必,12
人格,12
本卷,12
解散,12
民族,12
猛进,12
古代,11
听说,11
解决,11
学生自治,11
讲师,11
见于,11
十月,11
失败,11
苍蝇,11
集外集,11
宣传,11
当作,11
政府,11
人物,11
三十日,11
战争,11
领袖,11
五卅惨案,11
鬼谷子,11
幸而,10
地位,10
学堂,10
一类,10
曾任,10
工作,10
十五日,10
事实,10
中有,10
孟子,10
特别,10
必读书,10
无须,10
太平湖,10
忽而,10
庄子,10
江苏,10
今日,10
缘故,10
人类,10
爱国运动,10
内容,10
批评家,10
总要,10
浙江,10
女性,10
刊物,10
绿林,10
流产,10
赤化,10
凶兽,9
只能,9
地狱,9
一条,9
不幸,9
道理,9
十八日,9
代表,9
国耻,9
评议会,9
该校,9
巡警,9
汉代,9
清末,9
旧时,9
疑心,9
一件,9
主义,9
苦痛,9
家庭,9
成立,9
两个,9
诗人,9
二十日,9
文学,9
生存,9
反抗,9
证明,9
改变,9
偏袒,9
是非,9
专制,9
相传,9
孔丘,9
爱国,9
妇女,9
后援会,9
暴徒,9
聪明,9
运动,9
用处,9
提倡,9
一是,9
绅士,9
小说,9
记载,9
十四年,9
五日,9
灵魂,9
笨牛,9
女人,8
学说,8
两种,8
名字,8
圣人,8
阿Q,8
无聊,8
十四日,8
十九日,8
名义,8
纪念,8
创始人,8
编辑,8
军阀,8
各校,8
婆婆,8
二十一日,8
论者,8
眼睛,8
留下,8
赞成,8
免不了,8
语丝,8
时期,8
论调,8
以此,8
会员,8
会议,8
无论是,8
日报,8
袁世凯,8
禁止,8
议论,8
某种,8
臭毛厕,8
表现,8
康有为,8
早已,8
不肯,8
赤子,8
二十二日,8
不到,8
文士,8
教职员,8
艺术,8
大同,8
金款,8
言论,8
平民,8
皇帝,8
老鼠,8
政治,8
进化,8
却是,8
八日,8
灭亡,8
不为,8
民间,8
明末,8
愤怒,8
骂人,8
不见,7
奇怪,7
一部分,7
敌人,7
学潮,7
发现,7
白话文,7
笑话,7
时代,7
不想,7
印度,7
同年,7
整顿,7
罪名,7
六人,7
三年,7
负责,7
斗争,7
被捕,7
朱熹,7
德国,7
创办,7
教务长,7
父母,7
可怜,7
十六日,7
本纪,7
可靠,7
其时,7
关系,7
之际,7
时间,7
一位,7
杨先生,7
一张,7
否认,7
感到,7
当局,7
光明,7
战国,7
佛家语,7
苟活,7
是从,7
读者,7
挑剔,7
吞吞吐吐,7
打扫,7
老子,7
可怕,7
目下,7
两次,7
建立,7
通译,7
导师,7
人生,7
经验,7
可谓,7
刘百昭,7
造谣,7
文人,7
把戏,7
名流,7
投畀豺虎,7
吉祥,7
时报,7
单是,7
辛亥革命,7
明代,7
明季,7
动机,7
一部,7
不耻最后,7
天才,7
冲动,7
冒险,7
战胜,7
履行,7
基督教,7
华盖,7
沉默,7
同学,6
两样,6
儿子,6
利用,6
外面,6
卑怯,6
之外,6
曹锟,6
总统,6
识字,6
名目,6
露出,6
十三日,6
忘却,6
好看,6
请愿,6
元年,6
时时,6
渐渐,6
国度,6
奴隶,6
学风,6
阴谋,6
西安,6
此事,6
被迫,6
主任,6
六日,6
二十八日,6
职务,6
喜欢,6
英雄,6
三日,6
奴才,6
同志,6
可敬,6
佩服,6
国家,6
物质,6
四书,6
机会,6
不通,6
纯洁,6
太太,6
方法,6
统治,6
决不会,6
畜生,6
尊长,6
幼稚,6
感言,6
当日,6
坐在,6
运命,6
次日,6
十一日,6
反动派,6
难于,6
发展,6
几句话,6
自由,6
成员,6
多人,6
琴心,6
鼓动,6
卑劣,6
二十七日,6
二十九日,6
某籍,6
畜类,6
常有,6
启事,6
酒饭,6
敷衍,6
自居,6
丑态,6
收入,6
王世杰,6
该刊,6
欧阳,6
作文,6
女师,6
文中说,6
项羽,6
诅咒,6
冷嘲,6
保古,6
古董,6
诗经,6
文化,6
题为,6
中曾,6
梁启超,6
人间,6
爱人,6
恢复,6
驱逐,6
声明,6
二十六日,6
现象,6
十七日,6
留心,6
土匪,6
抗议,6
顺天,6
现今,6
姓名,6
称赞,6
第三卷,6
全国,6
有趣,6
魂灵,6
主编,6
月刊,6
杂记,6
阔人,6
妙法,6
惰性,6
研究室,6
四年,6
选家,6
文坛,6
实际上,6
这类,6
题目,6
一九二二年,6
二日,6
破产,6
价值,6
可知,6
不错,6
二百人,6
天灵盖,6
和平,6
秀才,6
疯子,6
束发,6
小生,6
第一次世界大战,6
莎士比亚,6
字典,6
通俗,6
小报,6
辩诬,6
牺牲者,6
狂喊,6
武者,5
温良,5
第一次,5
客气,5
武力,5
异性,5
之徒,5
古文,5
这位,5
一流,5
候补,5
早经,5
整理,5
辩护,5
机关枪,5
答复,5
执政府,5
游行,5
眼光,5
九日,5
召集,5
同情,5
信中,5
刊登,5
直系,5
首领,5
中华民国,5
杂志,5
南京,5
八年,5
佛教,5
缺点,5
声音,5
二十四日,5
拾遗,5
叔本华,5
鬼画符,5
好好,5
不去,5
只得,5
教书,5
读过,5
是因为,5
当初,5
外人,5
联合,5
而发,5
礼记,5
儒家,5
透顶,5
叫喊,5
叫唤,5
根苗,5
暴烈,5
无疑,5
理由,5
媳妇儿,5
看一看,5
校门,5
本校,5
专任,5
原因,5
照例,5
十年,5
留学,5
无非,5
这篇,5
迷信,5
通信,5
河南,5
生命,5
一同,5
扑灭,5
理想,5
危险,5
无从,5
四日,5
承认,5
担任,5
广告,5
势力,5
未免,5
一方,5
易于,5
底细,5
停刊,5
第二十五,5
汽车,5
好像,5
上书,5
捣乱,5
活在,5
弱水,5
率领,5
古书,5
千金,5
第一个,5
七年,5
开口,5
记性,5
李仲揆,5
庸人,5
真的,5
各式各样,5
篇幅,5
大部分,5
不见得,5
弗罗,5
提起,5
一律,5
毛丫头,5
聪明人,5
洋奴,5
诗文,5
憎恶,5
湖北,5
三十一日,5
倘有,5
一书,5
讽刺,5
该会,5
道义,5
官僚,5
少有,5
道德,5
压迫者,5
免得,5
一口,5
脱离,5
努力,5
复古,5
白话,5
野史,5
钦定,5
宋人,5
进化论,5
伶俐,5
人心,5
最先,5
韩非子,5
影响,5
损害,5
老实,5
门牙,5
世间,5
商人,5
创造,5
一到,5
生疮,5
卖国贼,5
亡国,5
党同伐异,5
足以,5
中学,5
催眠,5
大便,5
枪炮,5
事物,5
民气,5
实力,5
萌芽,5
三教,5
口号,5
胡说,5
政客,5
杂感,5
动物,5
离开,5
现世,5
废除,5
良心,5
活埋,5
宣战,5
章炳麟,5
公道,5
民力,5
昨天,4
虎狼,4
暴君,4
雇用,4
打手,4
男人,4
生长,4
含有,4
对手,4
不用,4
犯罪,4
偏要,4
钉子,4
不算什么,4
遗老,4
回忆,4
没出息,4
可喜,4
身分,4
正传,4
几天,4
报章,4
真有,4
手枪,4
更何况,4
古怪,4
兼任,4
演讲,4
残虐,4
目睹,4
一语,4
警察,4
作战,4
河北,4
领导,4
孙中山,4
国民党,4
吴佩孚,4
下令,4
次年,4
长篇小说,4
西林,4
独立,4
精力,4
失敬,4
各处,4
裸国,4
清高,4
支持,4
普及,4
正要,4
不行,4
足见,4
君子,4
裤子,4
何至于,4
何等,4
女儿,4
家里,4
胡涂,4
先行,4
向东,4
痛打,4
忘记,4
这话,4
农大,4
南宋,4
名称,4
著书,4
正当,4
说不出,4
阴惨,4
须知,4
毛病,4
西宾,4
时常,4
名论,4
四点,4
走进,4
已有,4
点头,4
大会,4
不该,4
半个,4
生物,4
悟出,4
谈话,4
打墙,4
百姓,4
死尸,4
傻子,4
呻吟,4
杀戮,4
无锡人,4
杞天之虑,4
豫报,4
力量,4
目标,4
说出,4
死亡,4
古训,4
监狱,4
失错,4
招牌,4
事来,4
湖南,4
团体,4
天安门,4
相干,4
一本,4
一期,4
银行,4
某系,4
世人,4
发行,4
付印,4
一段,4
要紧,4
不敢相信,4
传布,4
武器,4
清朝,4
调查,4
义务,4
不及,4
使人,4
局外人,4
干净,4
世上,4
公允,4
一九二七年,4
五卅运动,4
记者,4
大学校长,4
北大学生,4
国文,4
切实,4
我生,4
公车,4
读书人,4
秦始皇,4
刘邦,4
不当,4
逻辑,4
少年,4
二十年,4
不辰,4
考古学,4
联翩而至,4
传统,4
土地,4
宋版书,4
涅槃,4
国粹,4
祖传,4
甲午,4
清政府,4
农民,4
出身,4
文物,4
千佛洞,4
藏有,4
山东,4
仓颉,4
乾隆,4
灰色,4
昨日,4
通讯,4
西方,4
学术,4
执政,4
父兄,4
之教,4
委实,4
其人,4
高仁山,4
占去,4
临末,4
重男轻女,4
小人,4
脚色,4
原是,4
上帝,4
我要,4
自杀,4
KS,4
论及,4
不算,4
设法,4
敌手,4
吃苦,4
二十五日,4
交通,4
男子,4
停办,4
流氓,4
晚报,4
该文,4
唐代,4
文王,4
一首,4
去年,4
请客,4
任意,4
委员,4
宗帽,4
歌颂,4
国内,4
演说,4
嘴巴,4
半年,4
某君,4
有北,4
泰戈尔,4
威胁,4
目的,4
人为,4
原址,4
集团,4
智识阶级,4
近于,4
形式,4
孤桐,4
尊孔,4
反对者,4
战败,4
四库全书,4
丛书,4
列传,4
汇编,4
排印,4
何其,4
祖母,4
不安,4
说道,4
处世,4
戎首,4
公论,4
又作别论,4
满洲,4
不解,4
等待,4
宁馨儿,4
生产,4
期间,4
书籍,4
五代,4
脾气,4
之宫,4
狸猫,4
太子,4
翻译,4
之谈,4
蚊子,4
打落,4
效力,4
谣言,4
工夫,4
之故,4
托尔斯泰,4
不配,4
故事,4
流行,4
错误,4
关税,4
介绍,4
各样,4
符号,4
今人,4
资产阶级,4
第二号,4
厌世,4
不准,4
讨厌,4
通品,4
按指,4
男女,4
市民,4
排斥,4
自欺欺人,4
革命党,4
老例,4
书上,4
以孝治,4
苏秦,4
张仪,4
人力,4
总有,4
木兰,4
爆发,4
拒绝,4
金国,4
一九一二年,4
起义,4
后人,4
条件,4
几年,4
书屋,4
宰相,4
回事,4
悲苦,4
大叫,4
英国人,4
原文,4
胡子,4
一无所有,4
无泪,4
出世,4
上天,4
收回,4
淘汰,4
并未,4
格物,4
空气,4
二十四史,4
命运,4
清兵,4
雕龙,4
ch,4
之下,4
本朝,4
葛天氏,4
卢布,4
君主,4
别国,4
卑鄙龌龊,4
权势,4
租界,4
阶级,4
罗马教皇,4
对外,4
晕倒,4
记起,3
附加,3
军警,3
回家,3
掠袖,3
擦掌,3
化身,3
我敢,3
到来,3
显出,3
回到,3
想起,3
说文解字,3
废物,3
李大钊,3
安分,3
不好,3
见面,3
讥笑,3
杀头,3
叫作,3
高尚,3
事业,3
寿终正寝,3
此刻,3
动笔,3
早就,3
二则,3
事前,3
两架,3
郁郁,3
炸弹,3
至多,3
离奇,3
恒河,3
杀掉,3
三次,3
安心,3
可爱,3
后记,3
情况,3
演讲会,3
名人,3
举动,3
予以,3
下午,3
迫害,3
平时,3
发生冲突,3
冲突,3
奉系军阀,3
张作霖,3
五四运动,3
政策,3
作用,3
道员,3
法朗士,3
编者,3
孙伏园,3
置之不理,3
释放,3
京师,3
宗教,3
一带,3
一人,3
英语,3
音译,3
幻想,3
创伤,3
本文,3
哲学家,3
比喻,3
衰老,3
做工,3
坦白,3
这件,3
四郊多垒,3
卫生,3
紧要,3
人身,3
可恨,3
法子,3
诧异,3
误解,3
为难,3
赶紧,3
功亏一篑,3
破烂,3
号房,3
事故,3
麻烦,3
光阴,3
尚书,3
经典,3
程颢,3
程颐,3
晋代,3
穷愁,3
要死,3
发出,3
骈体文,3
痛苦,3
模样,3
我本,3
无不,3
体贴,3
之心,3
等于,3
坐馆,3
自讨苦吃,3
家族,3
婆媳,3
相向,3
确有,3
前途,3
谓之,3
太早,3
不耐烦,3
冷一冷,3
责任,3
墙壁,3
包围,3
做事,3
一群,3
走散,3
侮蔑,3
之间,3
感慨,3
剩下,3
算是,3
第二十九,3
虞卿,3
末年,3
一诗,3
轮回,3
依附,3
一再,3
委曲求全,3
泛指,3
不宜,3
心上,3
培良,3
收到,3
中州,3
豫告,3
道路,3
温饱,3
阻碍,3
一向,3
知命,3
岩墙之下,3
千金之子,3
坐不垂堂,3
活不下去,3
格言,3
每日,3
向上,3
路上,3
偶然,3
逃避,3
开封,3
堕落,3
孝经,3
集会,3
一事,3
一九一五年,3
武装警察,3
受伤,3
凡事,3
玩意儿,3
言动,3
全是,3
七个,3
特地,3
厉害,3
人会,3
鬼蜮,3
不信,3
籍贯,3
同籍,3
帮忙,3
扫除,3
把守,3
招集,3
摘录,3
全校,3
无伤大体,3
