word,count
中国,162
北京,123
六年,107
发表,103
教授,89
鲁迅,81
一点,75
章士钊,73
闲话,72
小说,71
陈西滢,70
副刊,69
评论,66
自然,64
实在,61
一九二五年,56
学生,55
流言,50
一月,50
这是,46
晨报,43
参看,42
陈源,42
文章,41
三月,40
青年,40
一种,40
段祺瑞,39
也许,38
东西,38
有人,37
反对,36
徐志摩,36
周刊,34
可惜,33
学校,33
女子,32
最初,32
日本,32
上海,32
本卷,31
只好,31
研究,31
孤桐,31
一文,29
语丝,29
学者,29
去年,28
便是,28
本篇,28
一篇,28
二月,27
皇帝,27
六月,27
英国,27
四月,27
请愿,26
教育部,26
事实,26
出版,26
特别,25
一日,25
两个,25
将来,25
七月,25
八月,25
攻击,24
北京大学,24
地方,24
日记,24
甲寅,24
国民军,23
五月,23
几个,23
一回,23
作者,23
广告,23
群众,22
公理,22
听说,22
政府,21
社会,21
美国,21
京报,20
十一月,20
俄国,20
第三卷,20
终于,20
先前,20
这回,20
希望,20
绅士,19
不知,19
生活,19
文学,19
师大,19
大学,19
破坏,19
师范大学,18
教员,18
发生,18
所说,18
关系,18
不肯,18
国民,18
思想,18
听到,18
至少,18
第一,18
通信,18
执政府,18
图书馆,18
一年,17
仿佛,17
世界,17
国立,17
志摩,17
正人君子,16
委员会,16
一九二四年,16
十月,16
苏俄,16
教育,16
记得,16
五年,16
十二月,16
总长,16
一本,16
是因为,16
作家,16
代表,16
孔子,16
北洋政府,15
天津,15
却是,15
事情,15
薪水,15
杂感,15
我国,15
通译,15
蔷薇,15
语见,15
文字,15
女士,15
何典,15
官僚,15
十八日,14
学风,14
三个,14
参加,14
吃饭,14
方法,14
明白,14
一句,14
赤化,14
有趣,14
曾任,14
文艺,14
诗人,14
编辑,14
四书,14
帝国主义,14
署名,14
三十日,14
二十五日,14
校长,13
中华民国,13
袁世凯,13
革命,13
几句,13
称为,13
语出,13
只能,13
人物,13
向来,13
著作,13
民族,13
纪念,13
声明,13
清代,13
中说,13
诬蔑,13
领袖,13
教育界,13
土匪,13
刘和珍,13
学匪,12
文士,12
整顿,12
一部分,12
一同,12
一件,12
二十八日,12
