word,count
辫子,59
母亲,54
七斤,54
东西,52
女人,48
孩子,46
一种,45
仿佛,44
便是,41
终于,40
几个,40
太爷,40
秀才,37
嫂子,37
未庄,36
太太,35
孔乙己,35
两个,34
单四,34
一件,33
眼睛,32
声音,30
儿子,29
渐渐,29
说道,29
北京,28
听到,28
慢慢,28
这是,27
一回,26
记得,26
本来,26
老爷,26
自然,25
老栓,25
回来,24
中国,24
举人,24
忽而,23
先前,23
一条,23
老头子,23
大哥,23
尼姑,23
坐在,22
革命党,22
一声,21
不见,21
掌柜,21
最初,20
发表,20
忘却,20
人物,20
酒店,20
七爷,20
宝儿,20
家里,19
实在,19
明天,19
革命,19
脸上,19
假洋鬼子,19
本篇,18
显出,18
不知,18
皇帝,18
小栓,18
耳朵,17
作者,17
面前,17
一代,17
土谷祠,17
几天,16
地上,16
父亲,16
回家,16
青年,16
有人,16
造反,16
一支,16
一会,16
闰土,16
外面,16
寂寞,15
院子,15
注释,15
上海,15
一年,15
可惜,15
回到,15
一点,15
地方,15
太阳,15
照例,15
邹七嫂,15
大妈,15
爱罗先,14
早已,14
学生,14
得意,14
这回,14
不平,14
这时候,14
进城,14
王胡,14
手里,13
一九二二年,13
议论,13
将来,13
屋子,13
希望,13
朋友,13
头发,13
眼光,13
起身,13
想到,13
长衫,13
六斤,13
正传,13
赵家,13
晓得,13
也许,12
乡下人,12
小说,12
只见,12
赶紧,12
我国,12
语见,12
学堂,12
第一,12
感到,12
模样,12
一块,12
第二天,12
本家,12
走出,12
回去,12
陈士成,12
分明,12
一只,12
可怜,12
身上,12
不肯,12
教员,12
政府,12
看着,12
大声,12
不到,12
故乡,12
晚上,12
样子,12
不准,12
双喜,12
一日,11
幸而,11
学校,11
衣服,11
古代,11
一同,11
坐下,11
眼前,11
头上,11
街上,11
地保,11
疑心,11
一句,11
车夫,11
吃饭,11
帮忙,11
旧时,11
咸亨,11
九斤,11
吴妈,11
日本,10
七月,10
呐喊,10
柜台,10
当初,10
答应,10
一张,10
少年,10
清代,10
思想,10
看时,10
一手,10
跟着,10
走近,10
一碗,10
点头,10
老太,10
航船,10
城里,10
阿五,10
王九妈,10
馒头,10
放在,9
半天,9
鲁迅,9
精神,9
我要,9
只得,9
历史,9
神情,9
悲哀,9
一夜,9
路上,9
这才,9
几回,9
寂静,9
听得,9
勇气,9
事情,9
说话,9
喜欢,9
衙门,9
一大,9
大钱,9
胡子,9
烟管,9
水生,9
四面,9
睡着,9
一九一九年,9
奇怪,9
动手,9
明白,9
戏台,9
老旦,9
一伙,9
洋钱,9
飘飘然,9
白眼,9
妈妈,9
一家,8
时时,8
向来,8
时常,8
上午,8
四个,8
三年,8
年纪,8
对面,8
研究,8
文章,8
一篇,8
工作,8
双十节,8
第一个,8
杀头,8
官僚,8
门口,8
辛亥革命,8
脸色,8
古怪,8
圆圈,8
一堆,8
异样,8
远远,8
指头,8
靠着,8
宏儿,8
上城,8
出门,8
两手,8
通红,8
问道,8
鲁镇,8
花白,8
走来,8
不吃,8
小兔,8
放下,8
从前,8
睡觉,8
平桥,8
赵庄,8
不该,8
一通,8
司晨,8
萝卜,8
大叔,8
夜间,7
房里,7
夏天,7
告诉,7
男人,7
一匹,7
小鸭,7
一看,7
一见,7
故事,7
写作,7
九月,7
大半,7
生命,7
暗暗,7
却是,7
三日,7
这话,7
情形,7
真的,7
一路,7
不行,7
嘴里,7
小说家,7
白光,7
迟疑,7
回过,7
不由,7
禁不住,7
小心,7
仔细,7
开口,7
六月,7
方玄绰,7
提起,7
昨天,7
发生,7
一节,7
初八,7
听说,7
未必,7
论语,7
天气,7
我家,7
海边,7
做工,7
五行,7
说不出,7
背后,7
生活,7
名称,7
可恶,7
晚饭,7
龙庭,7
赤膊,7
蓝皮,7
心思,7
用力,7
不住,7
早经,7
船头,7
公公,7
老五,7
佃户,7
夹袄,7
钢鞭,7
黑狗,7
未曾,6
之间,6
想要,6
小鸡,6
意外,6
消息,6
十月,6
十二月,6
冬天,6
社会,6
示众,6
看客,6
名目,6
剩下,6
屋里,6
桌上,6
懂得,6
人来,6
留学,6
早晨,6
冷笑,6
伸手,6
长毛,6
气愤,6
嘴唇,6
偏要,6
称为,6
下午,6
乌黑,6
底下,6
只好,6
低声,6
走进,6
铜钱,6
计算,6
脑里,6
愤愤,6
是因为,6
索薪,6
要钱,6
去年,6
之外,6
肚子,6
走过,6
呜呜,6
下文,6
三月,6
说出,6
多年,6
日期,6
短工,6
贝壳,6
畜生,6
危险,6
好看,6
门外,6
站住,6
工夫,6
胜利,6
放心,6
现钱,6
长久,6
门槛,6
几步,6
身边,6
一刻,6
书上,6
指着,6
发抖,6
一阵,6
尊敬,6
留心,6
轻轻,6
诧异,6
巡警,6
和尚,6
外祖母,6
算是,6
绍兴,6
屋子里,6
妹子,6
庄人,6
行状,6
腰间,6
竹杠,6
赵府,6
白盔,6
白甲,6
抬出,6
栅栏门,6
中说,6
咳嗽,6
其间,5
确乎,5
叹息,5
仲密,5
招呼,5
一处,5
不一会,5
世上,5
其时,5
讲堂,5
围着,5
空气,5
文字,5
三个,5
无聊,5
反对,5
独有,5
不愿,5
可笑,5
机会,5
十月十日,5
记载,5
自言自语,5
偶然,5
纪念,5
现出,5
祖母,5
头顶,5
监督,5
一到,5
走路,5
不远,5
终日,5
旁边,5
走到,5
一齐,5
日记,5
清末,5
四月,5
看过,5
发出,5
墙上,5
绅士,5
发昏,5
七个,5
一群,5
老例,5
灯火,5
月亮,5
像是,5
全身,5
确凿,5
全是,5
惭愧,5
小东西,5
多久,5
死尸,5
指甲,5
时代,5
新闻,5
店家,5
五月,5
亲领,5
胡说,5
老子,5
几句,5
当作,5
一层,5
有钱,5
记起,5
明明,5
摇头,5
尝试,5
北洋军阀,5
大门,5
一望,5
熟识,5
第二日,5
原因,5
凄凉,5
木器,5
沙地,5
毡帽,5
大叫,5
放松,5
慌忙,5
前天,5
器具,5
迷信,5
英国,5
茴香豆,5
回答,5
两碗,5
众人,5
不出,5
叹一口气,5
不多,5
乌鸦,5
不许,5
黑猫,5
历来,5
场上,5
一把,5
多长,5
大赦,5
忍不住,5
金圣叹,5
顶上,5
大爷,5
筷子,5
缎子,5
满脸,5
着眼,5
六年,5
社戏,5
舒服,5
静静的,5
粗笨,5
银元,5
棺木,5
交给,5
立着,5
看戏,5
长凳,5
流行,5
赵贵,5
伤心,5
张开,5
男女,5
语出,5
内传,5
别传,5
正史,5
嘴巴,5
文童,5
怒目而视,5
虫豸,5
孤孀,5
唾沫,5
府上,5
手执,5
三步,5
发财,5
箱子,5
柿油党,5
抓进,5
俄国,4
嚷嚷,4
虾蟆,4
十几个,4
窗外,4
微笑,4
夫人,4
唯一,4
再也,4
世界,4
做过,4
四年,4
所用,4
灵魂,4
奚落,4
中医,4
病人,4
家族,4
医学,4
预备,4
这一,4
只能,4
提倡,4
警察,4
商量,4
最先,4
失败,4
无可,4
并未,4
经验,4
会馆,4
发了,4
读者,4
清政府,4
中止,4
参看,4
钱玄同,4
一位,4
这位,4
说些,4
辛苦,4
性命,4
扬州,4
嘉定,4
革命军,4
邹容,4
几年,4
见面,4
穿着,4
洋鬼子,4
改了,4
博士,4
几次,4
子孙,4
脊梁,4
答道,4
默默,4
起义,4
县考,4
眼里,4
前程,4
神色,4
书包,4
头去,4
空中,4
不合,4
痕迹,4
举动,4
锄头,4
一气,4
空虚,4
浑身,4
灯光,4
一排,4
下巴,4
远处,4
檐下,4
字形,4
开去,4
常有,4
科举,4
姓名,4
发见,4
意见,4
地位,4
缘故,4
教育,4
好容易,4
惟有,4
一本,4
一副,4
万分,4
鼻子,4
忘记,4
道理,4
照旧,4
年关,4
夜里,4
休息,4
一口,4
为难,4
恍然大悟,4
连忙,4
说完,4
孟子,4
一文,4
老屋,4
天空,4
碧绿,4
西瓜,4
少爷,4
祭祀,4
名字,4
厨房,4
远远地,4
店里,4
记忆,4
抬起,4
张着,4
拿破仑,4
美国,4
哥儿,4
形容,4
吸烟,4
两条,4
女儿,4
傍晚,4
颜色,4
模糊,4
本是,4
害怕,4
清朝,4
沿用,4
黄酒,4
职务,4
整天,4
喝酒,4
一部,4
大人,4
何家,4
快活,4
粉板,4
读过,4
记着,4
回字,4
笑声,4
中秋,4
十九个,4
打折,4
平常,4
眼色,4
衣袋,4
之下,4
君子,4
一对,4
这小,4
父母,4
吃惊,4
热闹,4
睡不着,4
官员,4
矮凳,4
乌桕树,4
文豪,4
七十九岁,4
活够,4
你家,4
点灯,4
着急,4
光头,4
邻村,4
道士,4
望见,4
饭碗,4
囚徒,4
喝道,4
生气,4
抵挡,4
正气,4
人丛,4
关上门,4
方法,4
城内,4
笑嘻嘻,4
七年,4
八月,4
小事,4
老拱们,4
等候,4
两人,4
一串,4
上前,4
揪住,4
死者,4
影响,4
微风,4
一步,4
冬冬,4
不好,4
台上,4
目连,4
老生,4
村里,4
担心,4
底细,4
不多时,4
阿发,4
背上,4
罗汉豆,4
见识,4
状元,4
小孩子,4
一惊,4
一伙人,4
恶人,4
易子而食,4
虫子,4
易牙,4
左传,4
国史馆,4
竹帛,4
百家姓,4
闲人,4
心满意足,4
得胜,4
上坟,4
春天,4
生平,4
老婆,4
哭丧棒,4
人大,4
滑腻,4
人生,4
少奶奶,4
布衫,4
洋纱,4
娘子,4
宣德,4
自由党,4
顶子,4
横肉,4
那人,4
不孝,4
孔丘,4
灯笼,4
驼背,4
阿义,4
一向,3
