word,count
中国,190
一种,68
北京,65
社会,64
女子,58
发表,55
自然,50
青年,49
一九二五年,49
日本,45
节烈,43
思想,41
生命,40
人物,37
便是,37
实在,36
文章,36
将来,35
革命,34
作者,33
学生,32
女人,31
东西,31
生活,31
子女,31
一点,30
男子,30
天才,30
语见,29
几个,29
鲁迅,29
教育,28
方法,26
终于,26
主义,26
精神,26
上海,25
也许,25
评论,25
有人,24
道德,24
袁世凯,24
周刊,23
反对,23
解放,23
章士钊,23
雷峰塔,23
小说,22
希望,22
胡子,21
皇帝,21
牺牲,21
天下,21
最初,20
丈夫,20
男人,20
三月,20
出版,20
父母,20
手段,19
国粹,19
一篇,19
可惜,19
一九二四年,19
七月,19
发生,19
国民,19
民国,19
作品,19
眼睛,19
记得,18
奴隶,18
时代,18
清代,18
攻击,18
表彰,18
胡须,17
特别,17
先前,17
不肯,17
原因,17
只好,17
论语,17
参加,17
十一月,17
世界,17
作家,17
娜拉,17
照相,17
本篇,16
这是,16
浙江,16
改革,16
却是,16
所说,16
地方,16
费厄泼赖,16
研究,15
十二月,15
人类,15
早已,15
情形,15
价值,15
男女,15
阔人,15
妇女,15
故事,15
明白,15
三年,15
自由,15
孩子,15
经济,15
祖宗,15
父亲,15
绅士,15
是因为,14
意见,14
第一,14
语丝,14
历史,14
共和,14
古代,14
影响,14
组织,14
一文,14
二月,14
称为,14
诗人,14
家庭,14
想到,14
六年,14
一件,13
一位,13
说话,13
学校,13
八月,13
文字,13
我国,13
破坏,13
参看,13
不知,13
读者,13
只能,13
仿佛,13
道理,13
烈女,13
运动,13
一月,13
北京大学,13
成立,13
创刊,13
文明,13
听说,13
四月,13
战争,13
文艺,13
十景,13
之徒,13
费厄,13
当作,12
子孙,12
事情,12
无聊,12
十月,12
提倡,12
古文,12
失败,12
一类,12
关系,12
寡妇,12
外国,12
七年,12
教授,12
孔丘,12
百姓,12
二年,12
傀儡,12
胡适,12
倒掉,12
乡下人,12
细腰,12
画像,11
不想,11
改变,11
保存,11
本来,11
两个,11
记载,11
国家,11
议论,11
之意,11
向来,11
苦痛,11
杂志,11
明代,11
一部分,11
一年,11
总长,11
段祺瑞,11
副刊,11
觉醒,11
校长,11
乃是,11
圣人,11
白蛇,11
骂人,11
阶级,11
学者,11
语出,11
白话,11
落水,11
门牙,11
一张,10
之外,10
聪明,10
留学,10
名字,10
证明,10
洋鬼子,10
古人,10
林琴南,10
汉代,10
人心,10
资产阶级,10
君子,10
提出,10
解答,10
守节,10
这才,10
一同,10
文人,10
理想,10
人生,10
幸福,10
清末,10
领袖,10
五月,10
会议,10
一条,10
俄国,10
感到,10
唐代,10
京报,10
批评,10
一九一九年,10
他妈的,10
西湖,10
娘娘,10
曹操,10
永久,10
落水狗,10
牙齿,10
一回,9
回来,9
很大,9
未必,9
不到,9
现象,9
不幸,9
白话文,9
缘故,9
日下,9
鼓吹,9
复古,9
跟着,9
不及,9
疑问,9
知识,9
要紧,9
理由,9
真理,9
喜欢,9
一句,9
女性,9
好人,9
著作,9
至少,9
第一卷,9
工作,9
之故,9
爱国,9
忘却,9
汉人,9
常有,9
群众,9
夫人,9
汉族,9
斗争,9
辛亥革命,9
不孝,9
帝国主义,9
若干,9
无非,9
民众,9
预备,9
陈西滢,9
钞票,9
时时,9
进化,9
幼者,9
长者,9
打落水狗,9
公理,9
屁股,9
长安,8
朋友,8
缺点,8
山东,8
下文,8
实行,8
未曾,8
决不能,8
不许,8
圣贤,8
勇气,8
反抗,8
世上,8
答道,8
身上,8
可怜,8
月刊,8
北洋军阀,8
新文化运动,8
迷信,8
江苏,8
编辑,8
该刊,8
学说,8
各省,8
中有,8
整理,8
这话,8
译本,8
收入,8
文学,8
东京,8
剧本,8
憎恶,8
太平,8
通译,8
翻译,8
同年,8
宣传,8
相传,8
人为,8
代表,8
伊孛生,8
师大,8
政治,8
泥土,8
二十二日,8
坚壁清野,8
放大,8
日报,8
生物,8
正视,8
忽而,7
确乎,7
凡有,7
一部,7
七日,7
年间,7
引用,7
杭州,7
艺术,7
发展,7
性质,7
叹息,7
之中,7
一群,7
再嫁,7
家里,7
强暴,7
免不了,7
黑暗,7
题目,7
义务,7
活着,7
机会,7
弱者,7
父兄,7
渐渐,7
一到,7
光明,7
平等,7
发达,7
清朝,7
征服,7
机关,7
和尚,7
声明,7
一层,7
意义,7
署名,7
孙中山,7
曾任,7
主编,7
第二卷,7
译文,7
态度,7
河南,7
中说,7
春秋,7
起义,7
大半,7
总算,7
利用,7
卑怯,7
敌人,7
拜伦,7
九年,7
杀害,7
长篇小说,7
杂文,7
四年,7
自立,7
之间,7
势力,7
高等,7
一名,7
堕落,7
承认,7
孟子,7
殊不知,7
功过,7
流言,7
正人君子,7
甲寅,7
师范大学,7
国故,7
创作,7
批评家,7
幼稚,7
至多,7
头发,7
奴才,7
许仙,7
法海,7
卑劣,7
父子,7
闲话,7
主子,7
暂时,7
老例,7
服役,7
一块,7
艺术家,7
努力,7
天性,7
老实人,7
关税,7
镜子,6
黄帝,6
德国,6
汽车,6
故乡,6
家谱,6
麻烦,6
全在,6
时常,6
十二日,6
名称,6
本卷,6
之下,6
八年,6
康有为,6
学派,6
幸而,6
只得,6
遇见,6
贞操,6
儒者,6
地位,6
力量,6
几句,6
一味,6
声音,6
平和,6
亡国,6
放心,6
独立,6
一人,6
广东,6
时期,6
刊物,6
九月,6
一九一六年,6
恢复,6
文中,6
宋代,6
旧时,6
尚书,6
希腊,6
末年,6
十日,6
革命军,6
报复,6
