word,count
孩子,68
先前,57
眼睛,47
仿佛,44
大人,41
自然,40
终于,39
一点,35
声音,35
实在,34
两个,34
忽而,32
子君,31
听到,31
脸上,30
东西,30
祖母,30
祥林嫂,30
家里,26
四铭,26
老爷,26
几个,25
女人,25
家庭,23
这是,23
回来,23
眼光,23
男人,23
爱姑,23
只见,22
阔亭,22
地方,21
中国,21
母亲,21
看着,21
旧时,21
学程,21
事情,20
这才,20
地说,20
一种,20
四叔,20
空虚,19
学生,19
学堂,19
记得,18
也许,18
生活,18
一回,18
几天,18
背心,18
儿子,17
渐渐,17
一张,17
一只,17
早已,17
坐在,17
不见,17
客厅,17
畜生,17
寂静,16
父亲,16
想到,16
幸福,16
不到,16
太太,16
无聊,16
一会,16
回答,16
这回,16
不知,15
只得,15
只好,15
北京,15
旁边,15
坐下,15
头发,15
明天,15
屋子,14
神色,14
希望,14
忘却,14
不行,14
一句,14
发表,14
本来,14
一声,14
慢慢,14
沛君,14
靖甫,14
老夫子,14
便是,13
却是,13
主人,13
喜欢,13
头上,13
回到,13
面前,13
一九二五年,13
三个,13
说话,13
四爷,13
悲哀,12
一看,12
一条,12
一同,12
女工,12
朋友,12
阿随,12
告诉,12
衣服,12
说不清,12
赶紧,12
房里,12
桌上,12
昨天,12
豫备,12
学校,12
四婶,12
说道,12
方头,12
一年,11
窗外,11
耳朵,11
消失,11
眼里,11
沉默,11
真的,11
院子,11
开口,11
单是,11
发出,11
背后,11
外面,11
走进,11
本篇,11
肥皂,11
嘴里,11
样子,11
咯支,11
大声,11
门口,11
模样,11
听说,11
大夫,11
疹子,11
教员,11
作者,11
吹熄,11
秃头,11
我要,10
会馆,10
点头,10
分明,10
脸色,10
两眼,10
可笑,10
去年,10
可惜,10
灯光,10
一瞥,10
眼前,10
总算,10
明白,10
吃惊,10
向来,10
真实,10
空气,10
对面,10
孝女,10
多久,10
显出,10
新年,10
阿毛,10
阿阿,10
跟着,10
放下,10
历史,10
黄三,10
大汉,10
庄木,10
一间,9
看时,9
照例,9
时时,9
大半,9
车夫,9
油鸡,9
交给,9
发生,9
自由,9
商量,9
竭力,9
推开,9
手里,9
生路,9
神情,9
遇见,9
答应,9
一口气,9
我国,9
伸手,9
一块,9
连忙,9
堂屋,9
鲁镇,9
放在,9
不安,9
婆婆,9
回去,9
有如,9
月生,9
低声,9
一口,9
长富,9
思想,8
无可,8
路上,8
笑容,8
吃饭,8
改变,8
人生,8
第一,8
一夜,8
虚空,8
访问,8
走出,8
地上,8
脚步,8
异样,8
跨进,8
称为,8
一件,8
愤怒,8
道统,8
三月,8
最初,8
通红,8
诧异,8
老婆子,8
劈柴,8
嘴唇,8
兄弟,8
堂倌,8
理想,8
军阀,8
教科书,8
久仰,8
依然,7
深夜,7
永远,7
屋里,7
门外,7
微笑,7
将来,7
像是,7
想着,7
花白,7
名字,7
议论,7
工夫,7
幸而,7
见得,7
感到,7
只能,7
不吃,7
早晨,7
疑心,7
三角,7
晚上,7
沉重,7
脸来,7
重担,7
可怕,7
