word,count
墨子,96
老子,73
庄子,60
公输,52
伯夷,52
叔齐,51
好像,49
汉子,46
东西,40
一点,38
衣服,37
眉间,37
鲁迅,34
巡士,33
史记,31
学者,31
这是,30
这才,29
古代,29
声音,28
两个,28
记载,26
眼睛,25
一声,25
楚王,25
大王,25
我国,24
作者,24
慢慢,23
天下,23
本纪,23
太太,22
有人,22
女娲,22
仿佛,21
只见,21
几个,21
说道,21
父亲,21
听到,20
孔子,20
武王,20
坐在,19
回来,19
自然,19
一种,19
终于,19
养老,19
地方,18
孩子,18
黑色,18
本篇,18
发表,18
小说,18
只好,18
先前,18
一条,17
不周,17
不见,16
回答,16
尚书,16
中有,16
一会,16
大人,16
百姓,16
大员,16
不肯,15
工夫,15
一段,15
司命,15
关尹,15
洪水,15
治水,15
望见,14
嫦娥,14
只得,14
看着,14
大声,14
明天,14
一块,14
渐渐,14
一位,14
文学,14
诸侯,14
报仇,14
不知,13
故事,13
楚国,13
明白,13
参看,13
庄周,13
母亲,13
门外,12
情形,12
嘴里,12
赶紧,12
放在,12
旁边,12
外面,12
下文,12
包裹,12
孔丘,12
政府,12
化为,12
背后,12
芦柴,12
北平,12
文王,12
伸手,11
地上,11
弟子,11
春秋,11
一同,11
样子,11
呐喊,11
鹿台,11
冀州,11
头颅,11
武士,11
庚桑楚,11
恭敬,11
拄杖,11
首阳山,11
早已,10
不觉,10
两手,10
地说,10
想着,10
事情,10
向来,10
面前,10
月亮,10
问道,10
头上,10
身子,10
十二月,10
虚拟,10
可怜,10
这回,10
看不见,10
车子,10
鼻子,10
国民党,10
清代,10
文化,10
乡下人,10
纣王,10
连忙,10
照例,10
几句,10
王后,10
青牛,10
鸟头,10
蚩尤,10
房里,9
对面,9
放下,9
四个,9
一只,9
五个,9
也许,9
远处,9
跟着,9
实在,9
空中,9
发出,9
一阵,9
一想,9
诧异,9
手里,9
古书,9
淮南子,9
长虹,9
一篇,9
收入,9
文字,9
相传,9
云梯,9
攻宋,9
平静,9
老头子,9
起身,9
地面,9
公输子,9
法子,9
木头,9
本书,9
天地,9
放手,9
您老,9
代表,9
小东西,9
不到,9
共工,9
老鼠,9
国王,9
头骨,9
列传,9
木排,9
走进,8
乌鸦,8
使女,8
一眼,8
答应,8
坐下,8
叹一口气,8
中央,8
脸上,8
第一,8
像是,8
一看,8
开口,8
耳朵,8
屋里,8
六年,8
最初,8
北京,8
神话,8
人名,8
对话,8
回家,8
一到,8
柱子,8
消息,8
特别,8
通红,8
乞丐,8
便是,8
可谓,8
讽刺,8
称为,8
学说,8
髑髅,8
父母,8
全身,8
身上,8
探亲,8
叫作,8
研究,8
局里,8
提起,8
我要,8
黄土,8
名曰,8
侏儒,8
签子,8
饽饽,8
书记,8
账房,8
儿子,8
疙瘩,8
两位,8
两人,8
饿死,8
刚刚,7
大门,7
炸酱面,7
告诉,7
树林,7
大叫,7
临近,7
母鸡,7
一月,7
三个,7
年纪,7
只能,7
一挥,7
一手,7
眼光,7
思想,7
名字,7
精神,7
是从,7
批评,7
不错,7
石头,7
学生,7
北方,7
可惜,7
处所,7
一向,7
木片,7
玩意儿,7
意见,7
一九三五年,7
之间,7
醒来,7
睡着,7
路上,7
道士,7
旧时,7
真的,7
命令,7
一座,7
头发,7
颛顼,7
之山,7
这时候,7
山海经,7
帝王,7
青剑,7
女人,7
少年,7
妃子,7
大臣,7
舜爷,7
家谱,7
皋陶,7
西伯,7
小穷奇,7
脚步,6
主人,6
一步,6
腰间,6
一匹,6
网兜,6
运气,6
记得,6
老爷,6
家里,6
现出,6
肚子,6
无聊,6
雪白,6
王升,6
马鞭,6
是因为,6
圈子,6
走到,6
三枝,6
不及,6
微微,6
老人,6
一九二七年,6
孔颖达,6
汉代,6
改为,6
日本,6
青年,6
这篇,6
飞卫,6
太平,6
遇见,6
说话,6
回到,6
宋国,6
不住,6
成功,6
身体,6
却是,6
轻轻,6
一句,6
有余,6
留下,6
露出,6
中说,6
老聃,6
庸俗,6
总算,6
所说,6
图书馆,6
作家,6
黑瘦,6
花白,6
蝴蝶,6
自杀,6
大神,6
向天,6
宇宙,6
一件,6
强盗,6
袖子,6
几天,6
臂膊,6
走动,6
转身,6
呼吸,6
宝贝,6
一回,6
斧头,6
方士,6
懂得,6
一类,6
家伙,6
松明,6
性情,6
王妃,6
改变,6
一排,6
脖子,6
一群,6
爱乎,6
阿呼,6
白须,6
老臣,6
把戏,6
王头,6
太监,6
关官,6
出关,6
河南,6
浩浩,6
怀山襄陵,6
飞车,6
愚人,6
神农,6
伏羲,6
方法,6
称赞,6
官员,6
莎士比亚,6
大哥,6
竹君,6
华山,6
背上,5
豹皮,5
女辛,5
厨房,5
天天,5
好看,5
常有,5
走过,5
决计,5
显得,5
第二天,5
一道,5
女庚,5
早就,5
出门,5
一径,5
老婆子,5
模样,5
伸出,5
送到,5
下午,5
不行,5
焦躁,5
两腿,5
幸而,5
异样,5
闪闪,5
须发,5
莽原,5
半月刊,5
一身,5
商王,5
出版,5
离开,5
时代,5
黄帝,5
孟子,5
公孙,5
门口,5
一通,5
包袱,5
都城,5
细看,5
那人,5
城里,5
湘灵,5
门丁,5
杀掉,5
发怒,5
用不着,5
敌人,5
肚子饿,5
行义,5
不用,5
再见,5
募捐,5
反对,5
写作,5
古人,5
昔者,5
东北,5
谓之,5
一九二二年,5
长久,5
创造,5
灵魂,5
冒险,5
魂灵,5
影响,5
十月,5
胡涂,5
胡子,5
轻松,5
伞子,5
胡说,5
保甲,5
冷笑,5
多久,5
警棍,5
不放,5
战国,5
道家,5
将子,5
陆续,5
林语堂,5
动摇,5
喜欢,5
无不,5
欢喜,5
一株,5
山上,5
山顶,5
一口,5
到来,5
长方,5
颜色,5
仙山,5
传给,5
秦始皇,5
发见,5
蓬莱,5
悲哀,5
三年,5
小心,5
青衣,5
木棍,5
金鼎,5
勺子,5
六经,5
老实,5
函谷关,5
关口,5
巡警,5
木札,5
讲义,5
恋爱,5
韩非,5
松树,5
考察,5
叶子,5
虎贲,5
八卦,5
黄熊,5
三足,5
滔天,5
先祖,5
堂里,5
兄弟,5
妇人,5
民众,5
甲士,5
牧野,5
善人,5
归马,5
于华山,5
之阳,5
老三,5
不食周粟,5
祭酒,5
聪明,4
垂着手,4
麻雀,4
窗外,4
不理,4
已有,4
走近,4
还好,4
封豕长蛇,4
堂屋,4
不去,4
西山,4
叹息,4
遍地,4
找到,4
嘴唇,4
吩咐,4
炊饼,4
一齐,4
轻轻地,4
对不起,4
高粱,4
浑身,4
小小的,4
远远地,4
很大,4
慌忙,4
去年,4
身边,4
好容易,4
相触,4
海边,4
看时,4
摇头,4
讨厌,4
生气,4
有趣,4
奇怪,4
姚家,4
想不到,4
走出,4
本来,4
堕落,4
一盘,4
睡觉,4
人物,4
女亘,4
红色,4
一书,4
山西,4
一九二四年,4
丛书,4
一九二五年,4
攻击,4
言语,4
之道,4
列子,4
十日,4
席子,4
十多天,4
火焰,4
老乡,4
一柄,4
一张,4
皮带,4
总得,4
脚底,4
三天,4
大树,4
贴着,4
公子,4
算是,4
大汉,4
管黔,4
昨天,4
不坏,4
答道,4
禽滑,4
干净,4
胖子,4
不远,4
迈开,4
模型,4
一惊,4
院子,4
沉静,4
几句话,4
听说,4
不争,4
衣裳,4
鞋子,4
墨翟,4
锦绣,4
五千里,4
点头,4
非常高兴,4
等候,4
大饼,4
交给,4
三寸,4
报刊,4
鲁问,4
帝国主义,4
欺骗,4
上帝,4
实行,4
卖国,4
投降,4
成仿吾,4
文章,4
想到,4
铸剑,4
若干,4
革命,4
海子,4
四处,4
妻子,4
弱者,4
东方,4
至心,4
朝礼,4
运动,4
奴才,4
玄黄,4
太上老君,4
做梦,4
赤条条,4
孝子,4
眼前,4
拉住,4
上前,4
警笛,4
举起,4
吃惊,4
上流,4
草丛,4
袍子,4
竭力,4
道教,4
发生,4
杂文,4
论语,4
句子,4
太阳,4
分明,4
泥土,4
两眼,4
仰面,4
不暇,4
一口气,4
仔细,4
巨鳌,4
转过,4
铁片,4
失望,4
回事,4
我后,4
我师,4
一色,4
热闹,4
昆仑山,4
舌头,4
一日,4
走散,4
晨报,4
风俗,4
西北,4
文言,4
郭璞注,4
不合,4
入海,4
扑通一声,4
逃走,4
青色,4
善于,4
听得,4
五尺,4
取出,4
决心,4
背着,4
脑袋,4
干瘪,4
路旁,4
举手,4
议论,4
仪仗,4
青苔,4
一夫,4
呵欠,4
弄臣,4
宦官,4
那头,4
满脸,4
显出,4
太子,4
集解,4
形容,4
先王,4
客气,4
冉有,4
牙齿,4
流沙,4
探子,4
圣人,4
半天,4
中记,4
风化,4
常枞,4
岸上,4
奇肱国,4
涛声,4
搜集,4
面包,4
贝壳,4
官兵,4
维他命,4
下民,4
总有,4
清香,4
息壤,4
干父,4
禹爷,4
文化城,4
顾颉刚,4
英语,4
音译,4
赤化,4
太师,4
乐器,4
烙饼,4
木主,4
周王,4
告示,4
敬老,4
姜太公,4
姜汤,4
门板,4
肆祀,4
茯苓,4
羊皮,4
上山,4
松针,4
石片,4
采薇,4
小丙君,4
阿金,4
商纣,4
直挺挺,3
鞭子,3
跨进,3
老鸦,3
地响,3
刚到,3
脱毛,3
整年,3
低声,3
惶恐,3
留在,3
半年,3
土冈,3
卢弓,3
卢矢,3
弩机,3
大碗,3
白面,3
当年,3
野猪,3
微微一笑,3
那道士,3
送给,3
飞升,3
眼圈,3
两颊,3
废止,3
五株,3
不一会,3
前去,3
禽兽,3
土屋,3
前行,3
我家,3
射死,3
勒住,3
老太太,3
四十五岁,3
当作,3
走走,3
正经事,3
锄头,3
一包,3
十个,3
正午,3
向上,3
翻身,3
两面,3
半空中,3
用尽,3
看清,3
一枝,3
下马,3
微笑,3
张开,3
即以其人之道,3
反诸其,3
人之身,3
哈哈哈,3
径自,3
丧钟,3
天色,3
走得,3
说不定,3
地问,3
解下,3
仙药,3
退出,3
用手,3
