word,count
无常,53
中国,42
自然,40
父亲,32
一点,32
记得,29
一种,28
孩子,24
也许,24
实在,22
北京,21
不知,20
朝花夕拾,19
日本,18
听到,18
一回,17
东西,16
几个,16
特别,15
母亲,14
这是,14
地方,13
先前,13
仿佛,13
鲁迅,12
研究,12
便是,12
遇见,12
一条,12
声音,12
南京,12
不肯,11
故事,11
听说,11
叫作,11
孝子,11
父母,11
一到,11
学生,11
隐鼠,11
长毛,11
两个,11
一张,11
二十四孝,10
一句,10
终于,10
早已,10
太太,10
坐在,10
说道,10
讲义,10
藤野,9
范爱农,9
阿长,9
图画,9
本子,9
四个,9
玉历,9
一位,9
明白,9
郭巨,9
称为,9
婴儿,9
喜欢,9
有人,9
放在,9
家里,9
赛会,9
其时,9
只得,9
只能,9
老鼠,9
最初,8
广州,8
百草园,8
流言,8
一看,8
未必,8
老莱子,8
我家,8
妈妈,8
希望,8
可惜,8
忘却,8
一年,8
恭喜,8
一篇,8
脚色,8
老虎,8
陈莲河,8
爱农,8
学堂,8
上海,7
山海经,7
白话,7
本来,7
想到,7
只好,7
第一,7
之外,7
阴间,7
一段,7
这才,7
发生,7
埋儿,7
可爱,7
儿子,7
有趣,7
祖母,7
是因为,7
理由,7
却是,7
方法,7
文章,7
男女,7
地说,7
姑娘,7
告诉,7
石印,7
东京,7
学校,7
情形,7
百孝图,7
故乡,7
绍兴,7
名医,7
汉文,7
回忆,6
发表,6
青年,6
一本,6
眼睛,6
不见,6
一大,6
小孩子,6
留心,6
事情,6
不到,6
一块,6
半天,6
回事,6
几天,6
地上,6
走进,6
分明,6
眼前,6
一部,6
学者,6
医学,6
学问,6
这回,6
一群,6
目连,6
药引,6
鼓皮,6
喝酒,6
本书,5
题目,5
后记,5
思想,5
三味书屋,5
总要,5
反对,5
世界,5
绅士,5
小说,5
悲哀,5
前辈,5
同学,5
欢喜,5
鬼神,5
公理,5
佩服,5
模样,5
斑斓,5
之衣,5
怎地,5
古人,5
一同,5
脊梁,5
读书人,5
答应,5
脸上,5
夜间,5
旁边,5
相宜,5
不行,5
无从,5
书房,5
大声,5
疑心,5
竹竿,5
男人,5
头上,5
憎恶,5
讨厌,5
明天,5
教给,5
敬意,5
可怕,5
小小的,5
动物,5
学费,5
客店,5
解剖学,5
星期,5
一通,5
预先,5
时时,5
同乡,5
几句,5
淹死,5
幼小,5
吴友如,5
偶然,5
了然,5
高帽,5
一元,5
西医,5
原因,5
消息,5
发电,5
都督,5
陆续,4
社会,4
猖会,4
书籍,4
总算,4
竭力,4
胡子,4
乃是,4
长久,4
谋害,4
教授,4
跌下来,4
看着,4
面前,4
无法可想,4
人生,4
自杀,4
长大,4
天气,4
一声,4
咕咚,4
地响,4
不该,4
手里,4
书上,4
人情,4
君子,4
当作,4
黄金,4
掘出,4
天下,4
委实,4
法子,4
高大,4
单是,4
蟋蟀,4
园里,4
老和尚,4
美女蛇,4
名字,4
冬天,4
两样,4
地面,4
全城,4
算是,4
和蔼,4
老人,4
详细,4
机会,4
读书,4
渐渐,4
有念,4
迎神赛会,4
简单,4
是从,4
关系,4
东关,4
一件,4
少年,4
名目,4
盘古,4
之流,4
不错,4
一向,4
带领,4
名称,4
夏天,4
第二天,4
门房,4
老妈子,4
提起,4
绘图,4
最为,4
记不清,4
仙台,4
难以,4
现今,4
火车,4
真的,4
功课,4
为难,4
干事,4
报纸,4
教员,4
检查,4
无怪,4
离开,4
忍心害理,4
高明,4
人心,4
曹娥,4
年青,4
上方,4
一类,4
查考,4
斋本,4
天津,4
一派,4
使者,4
算盘,4
漂亮,4
茫茫,4
这时候,4
阴差,4
鬼王,4
鬼物,4
身上,4
凡有,4
不用,4
药方,4
儿女,4
朋友,4
四角,4
用药,4
一匹,4
电报,4
留学,4
烈士,4
离奇,4
革命,4
军政府,4
金发,4
报馆,4
毕业,4
散文,3
十篇,3
七月,3
九月,3
作者,3
经历,3
增田涉,3
注释,3
一文,3
最黑,3
妨害,3
可怜,3
懂得,3
常用,3
恐吓,3
小孩,3
半天空,3
人格,3
小心,3
儿童,3
同窗,3
翻开,3
书塾,3
帝君,3
图说,3
中寻出,3
生命,3
失掉,3
危险,3
阎王,3
独有,3
孝顺,3
无非,3
吃饭,3
不难,3
性命,3
不及,3
老头子,3
确是,3
小鼓,3
一枝,3
目下,3
上堂,3
诈跌,3
太平,3
舒服,3
肉麻,3
所说,3
结末,3
常有,3
送给,3
五月,3
相传,3
趣味,3
蜈蚣,3
木莲,3
何首乌,3
看时,3
枕边,3
象是,3
盒子,3
陌生,3
担心,3
直到现在,3
所得,3
明明,3
捉住,3
走过,3
孔子,3
城中,3
渊博,3
回去,3
规矩,3
成绩,3
仪仗,3
