word,count
地狱,19
野草,18
孩子,17
人类,16
终于,15
一九二五年,15
希望,15
四面,14
几个,14
风筝,13
青年,12
记得,12
声音,12
青春,12
地上,11
眼前,11
女孩,11
仿佛,11
鲁迅,11
这是,10
听到,10
天空,10
人间,10
故事,10
梦见,9
神之子,9
欢喜,9
黑暗,9
一点,9
只得,9
走路,9
咒诅,8
不知,8
休息,8
布施,8
眼睛,8
灰土,8
空虚,8
魔鬼,8
生命,7
一种,7
灭亡,7
地方,7
眼泪,7
一会,7
求乞,7
冰谷,7
聪明人,7
空中,7
身外,7
本书,7
暗夜,7
主人,7
复仇,6
悲悯,6
悲哀,6
一九二四年,6
不愿,6
朋友,6
自然,6
温热,6
拥抱,6
杀戮,6
颜色,6
可惜,6
战士,6
投枪,6
无物,6
举起,6
中央,6
一处,6
太阳,6
姑娘,6
不行,6
憎恶,6
不理,6
方法,6
先前,6
生存,6
死亡,6
题辞,6
失掉,6
颤动,6
惊异,6
魂灵,6
一篇,6
穿透,5
十二月,5
我要,5
皮肤,5
永远,5
旷野,5
干枯,5
凝视,5
一同,5
模样,5
点头,5
墓碣,5
过客,5
一间,5
好处,5
走出,5
实在,5
感激,5
平安,5
枣树,5
奇怪,5
叶子,5
暗暗,5
一声,5
忽而,5
可怜,5
微风,5
青白,5
火焰,5
地说,5
日光,5
有人,5
蝴蝶,5
傻子,5
奴才,5
血痕,5
天地,5
苦痛,5
渺茫,5
寂寞,5
逝去,5
作者,5
粗暴,5
四月,4
以色列,4
不肯,4
永久,4
丁丁,4
痛楚,4
两个,4
身上,4
告别,4
不乐意,4
彷徨,4
沉没,4
二十四日,4
蛊惑,4
利刃,4
冰冷,4
嘴唇,4
全身,4
之上,4
也许,4
各样,4
微笑,4
离开,4
老翁,4
坐在,4
东西,4
阿阿,4
不见得,4
老丈,4
称呼,4
多谢,4
这于,4
沉默,4
早已,4
告诉,4
要死,4
闪闪地,4
目夹,4
红花,4
月亮,4
空气,4
灯火,4
喷出,4
摇动,4
死火,4
留下,4
发表,4
欢欣,4
失恋,4
爱人,4
翻脸,4
何故,4
不幸,4
淡淡的,4
朽腐,4
吸取,4
白云,4
深夜,4
小屋,4
波涛,4
荒野,4
美丽,4
造物主,4
地使,4
风轮,4
鬼魂,4
美的,4
背后,3
分明,3
玩味,3
地想,3
舒服,3
虚空,3
强盗,3
人之子,3
将来,3
消失,3
黄昏,3
黎明,3
九月,3
拼命,3
飞扬,3
极致,3
对立,3
广漠,3
伸长,3
脖子,3
无聊,3
毛孔,3
慢慢,3
其间,3
眼光,3
腊叶,3
去年,3
一株,3
徘徊,3
是从,3
通红,3
几片,3
病叶,3
只能,3
窗外,3
早经,3
二十六日,3
一掷,3
走进,3
之阵,3
猛士,3
头上,3
外套,3
一件,3
胜利,3
太平,3
天上,3
死尸,3
脸上,3
六月,3
一日,3
土屋,3
正要,3
不动,3
暂时,3
好意,3
力气,3
野百合,3
野蔷薇,3
沉思,3
感到,3
缘故,3
吃惊,3
惊惧,3
惊醒,3
立论,3
老师,3
说谎,3
细小,3
到来,3
蜜蜂,3
冻得,3
直刺,3
夜半,3
灯罩,3
遍身,3
夹衣,3
烦腻,3
法子,3
得不到,3
弥漫,3
无不,3
登时,3
衣裳,3
遗弃,3
醒来,3
明白,3
愤怒,3
地面,3
条纹,3
这回,3
草席,3
打开,3
变化,3
梅花,3
罗汉,3
晴天,3
胭脂,3
屋上,3
旋转,3
升腾,3
无边,3
一月,3
颓败,3
大笑,3
歌唱,3
无可,3
饥饿,3
羞辱,3
悲凉,3
呻吟,3
带累,3
石像,3
无词,3
言语,3
沉重,3
英文,3
译本,3
六年,3
北京,3
陆续,3
语丝,3
小花,3
怯弱,3
废墟,3
荒坟,3
悲苦,3
屹立,3
远处,3
浮动,3
故乡,3
久经,3
绝望,3
一本,3
儿童,3
展开,3
宽恕,3
苍白,3
漂渺,3
出版,3
沉钟,3
沙漠,3
鬼众,3
最初,3
初版,3
日致,3
月光,3
虚妄,3
茅屋,3
碎影,3
破碎,2
一条,2
回顾,2
叱咤,2
逃走,2
大声,2
床上,2
二十三日,2
十字架,2
紫袍,2
戏弄,2
衣服,2
那用,2
没药,2
调和,2
对付,2
前途,2
仇恨,2
敌意,2
钉尖,2
可悯,2
痛得,2
透到,2
心髓,2
这使,2
文士,2
沉酣,2
以罗伊,2
上帝,2
离弃,2
血腥,2
二十日,2
说出,2
无地,2
光明,2
明暗,2
之间,2
远行,2
白天,2
赠品,2
不到,2
热血,2
密密层层,2
墙壁,2
槐蚕,2
希求,2
接吻,2
呼吸,2
奔来,2
赏鉴,2
裸着,2
不见,2
身体,2
钻进,2
剩下,2
雁门,2
记起,2
深秋,2
凋零,2
枫树,2
细看,2
青葱,2
绯红,2
镶着,2
斑斓,2
保存,2
原因,2
所用,2
遇见,2
一式,2
武器,2
旗帜,2
慈善家,2
东方,2
胸膛,2
作证,2
之物,2
再见,2
剥落,2
文句,2
之际,2
眼中,2
草木,2
哀乐,2
徐徐,2
口唇,2
十岁,2
眼珠,2
阴沉,2
口袋,2
几株,2
痕迹,2
树根,2
看一看,2
好看,2
乞丐,2
走近,2
一杯,2
水洼,2
各式各样,2
记不清,2
我单,2
走向,2
感谢,2
恢复,2
前去,2
诧异,2
许多许多,2
不错,2
坟地,2
可不,2
东边,2
熟悉,2
回转,2
驱逐,2
心底,2
摇头,2
叫唤,2
我息,2
可恨,2
老人,2
喝些,2
总有,2
未必,2
几声,2
倾听,2
递给,2
坐下,2
四近,2
力量,2
境遇,2
退后,2
颓唐,2
拍手,2
转身,2
预备,2
看着,2
遭打,2
七月,2
秋夜,2
后园,2
口角,2
野花,2
名字,2
做梦,2
瑟缩着,2
落尽,2
小粉,2
干子,2
弧形,2
几枝,2
发白,2
飞过,2
笑声,2
玻璃,2
地响,2
真的,2
一角,2
栀子,2
苍翠,2
可爱,2
一支,2
纸烟,2
英雄,2
穿着,2
悲戚,2
近于,2
手势,2
疑心,2
泥墙,2
想着,2
冰山,2
片片,2
鱼鳞,2
树林,2
无数,2
珊瑚,2
冰结,2
黑烟,2
这冰谷,2
幼小,2
爱看,2
变幻,2
冷气,2
大火,2
低头,2
燃烧,2
大石,2
底下,2
地笑,2
死后,2
正当,2
设想,2
预想,2
脚步声,2
时说,2
快意,2
材料,2
看不见,2
马蚁,2
上爬,2
开口,2
鼻尖,2
烦厌,2
不堪,2
芦席,2
任意,2
权利,2
六面,2
钉子,2
无知,2
静静地,2
碍事,2
明板,2
胡涂,2
思想,2
安乐,2
仇敌,2
生活,2
打油诗,2
猫头鹰,2
仰头,2
向来,2
雪花,2
滋润,2
隐约,2
野中,2
嗡嗡地,2
一齐,2
成功,2
生光,2
屋里,2
太空,2
闪烁,2
精魂,2
有大,2
乔木,2
坦然,2
欣然,2
装饰,2
地下,2
静穆,2
爱者,2
不爱者,2
禁闭,2
内部,2
身躯,2
缩小,2
屋角,2
早哩,2
惊惶,2
发抖,2
移开,2
抬起,2
很大,2
回旋,2
满是,2
许多年,2
内外,2
一群,2
怨恨,2
垂老,2
女人,2
害苦,2
委屈,2
痉挛,2
平静,2
刹那间,2
照见,2
感想,2
军阀,2
而作,2
政府,2
其时,2
不许,2
结束,2
二心,2
生者,2
流血,2
欲生,2
灭尽,2
咀嚼,2
良民,2
二月,2
瓦片,2
肃杀,2
春天,2
荡漾,2
不爱,2
没出息,2
玩艺,2
方凳,2
地站,2
伸手,2
很重,2
重地,2
坠下去,2
补过,2
一回,2
渐渐,2
儿时,2
严冬,2
飞机,2
上午,2
依然,2
编校,2
作品,2
风沙,2
浅草,2
疲劳,2
昏黄,2
三界,2
面前,2
光辉,2
完结,2
收得,2
边缘,2
曼陀罗花,2
惨白,2
反狱,2
发出,2
散文诗,2
上海,2
各篇,2
信中,2
提及,2
此事,2
封面,2
人来,2
头发,2
颤抖,2
僵坠,2
Petofi,2
迟暮,2
总得,2
石油,2
昏暗,2
昏沉,2
初学,2
幽雅,2
有趣,2
云锦,2
小船,2
融和,2
退缩,2
青天,2
永是,2
大红花,2
拉长,2
寻人,2
诉苦,2
一餐,2
可不是,2
总会,2
屋子,2
赶走,2
夸奖,2
隘巷,1
行走,1
衣履,1
乞食,1
傲慢,1
住口,1
势力,1
嘻嘻,1
气愤,1
侮辱,1
惭愧,1
布和绸,1
官和民,1
主和奴,1
且慢,1
谈谈,1
挽留,1
一径,1
尽力,1
逃出,1
梦境,1
兵丁,1
戴上,1
荆冠,1
庆贺,1
一根,1
苇子,1
膝拜,1
掌心,1
柔和,1
脚背,1
一块,1
竖起,1
路人,1
辱骂,1
祭司,1
讥诮,1
手足,1
碎骨,1
腹部,1
波动,1
遍地,1
马撒,1
各大尼,1
翻出来,1
人连,1
比钉,1
血污,1
影来,1
天堂,1
黄金世界,1
不想,1
跟随,1
要别,1
吞并,1
灰黑,1
手装,1
作喝,1
杯酒,1
倘是,1
黑夜,1
现是,1
我能,1
心地,1
影在,1
世界,1
之厚,1
半分,1
鲜红,1
其密,1
血管,1
奔流,1
各以,1
牵引,1
偎倚,1
以得,1
尖锐,1
一击,1
桃红色,1
菲薄,1
那鲜,1
激箭,1
灌溉,1
示以,1
人性,1
茫然,1
浸于,1
如马蚁,1
漂亮,1
倒空,1
预觉,1
事后,1
鲜味,1
之意,1
圆活,1
爬满,1
喉舌,1
干燥,1
面面相觑,1
走散,1
生趣,1
地立,1
以死,1
这路,1
无血,1
大戮,1
沉浸于,1
灯下,1
压干,1
枫叶,1
繁霜夜,1
木叶,1
多半,1
庭前,1
小小的,1
红色,1
叶片,1
全树,1
最多,1
几团,1
浓绿,1
独有,1
蛀孔,1
乌黑,1
花边,1
黄和绿,1
斑驳,1
明眸,1
自念,1
买到,1
愿使,1
不即,1
群叶,1
飘散,1
今夜,1
黄蜡,1
眸子,1
复似,1
灼灼,1
再过,1
旧时,1
记忆,1
消去,1
短时,1
更何况,1
葱郁,1
耐寒,1
树木,1
更何,1
消说,1
想来,1
赏玩,1
秋树,1
余闲,1
蒙昧,1
非洲,1
土人,1
背着,1
雪亮,1
毛瑟枪,1
疲惫,1
中国,1
绿营,1
佩着,1
盒子炮,1
乞灵,1
牛皮,1
废铁,1
甲胄,1
脱手,1
敌人,1
杀人不见血,1
炮弹,1
其力,1
名称,1
学者,1
长者,1
雅人,1
君子,1
头下,1
花样,1
学问,1
道德,1
国粹,1
民意,1
逻辑,1
公义,1
文明,1
同声,1
偏心,1
两样,1
胸前,1
放着,1
护心镜,1
深信,1
偏侧,1
正中,1
心窝,1
颓然,1
倒地,1
戕害,1
罪人,1
大踏步,1
老衰,1
寿终,1
胜者,1
境地,1
不闻战,1
十四日,1
读着,1
刻辞,1
沙石,1
所制,1
苔藓,1
丛生,1
仅存,1
有限,1
浩歌,1
狂热,1
中寒,1
深渊,1
得救,1
游魂,1
化为,1
长蛇,1
口有,1
毒牙,1
不以,1
啮人,1
自啮,1
其身,1
终以,1
陨颠,1
我绕,1
孤坟,1
颓坏,1
口中,1
窥见,1
腹俱破,1
心肝,1
之状,1
蒙蒙,1
如烟然,1
疑惧,1
不及,1
回身,1
阴面,1
残存,1
抉心,1
自食,1
知本味,1
创痛,1
酷烈,1
本味何,1
能知,1
痛定,1
然其心,1
陈旧,1
本味,1
何由知,1
成尘时,1
疾走,1
反顾,1
生怕,1
追随,1
十七日,1
七十岁,1
白头发,1
长袍,1
紫发,1
白地,1
方格,1
长衫,1
三四十岁,1
状态,1
困顿,1
倔强,1
黑须,1
乱发,1
黑色,1
衣裤,1
赤足,1
破鞋,1
胁下,1
竹杖,1
杂树,1
瓦砾,1
荒凉,1
破败,1
丛葬,1
非路,1
开着,1
一扇门,1
门侧,1
一段,1
搀起,1
向东,1
走来,1
不用,1
天天,1
东面,1
杂树间,1
踌躇,1
晚上,1
托福,1
你好,1
冒昧,1
水喝,1
池塘,1
水来,1
杯子,1
客官,1
本来,1
一路,1
随便,1
第二回,1
略略,1
迟疑,1
许多路,1
来到,1
小心,1
地捧出,1
木杯,1
递去,1
接杯,1
两口,1
喝尽,1
还杯,1
这真,1
少有,1
真不知道,1
西顾,1
看过,1
走过,1
南边,1
北边,1
来路,1
莫怪,1
多嘴,1
劳顿,1
也料,1
惊起,1
回到,1
名目,1
地主,1
牢笼,1
皮面,1
笑容,1
常在,1
催促,1
一足,1
无论谁,1
补充,1
一路上,1
稀薄,1
太多,1
遇不到,1
接取,1
极少,1
这能,1
就断,1
布缠,1
竭力,1
这太多,1
没法,1
我怕,1
我会,1
兀鹰,1
祝愿,1
稳当,1
布片,1
太好,1
太小,1
带走,1
似笑,1
玩玩,1
你息,1
背不动,1
一伸,1
收回,1
敛手,1
土屋里,1
太重,1
祝你平安,1
向门,1
祝你们,1
奋然,1
向西,1
随即,1
关了门,1
野地,1
里跄,1
踉地,1
闯进去,1
夜色,1
三月,1
二日,1
小学校,1
讲堂,1
作文,1
请教,1
眼镜,1
圈外,1
斜射,1
一家,1
一个男孩,1
合家,1
透顶,1
满月,1
客人,1
兆头,1
发财,1
一顿,1
合力,1
痛打,1
富贵,1
许谎,1
您瞧,1
八日,1
墙外,1
两株,1
生平,1
见过,1
仰面,1
几十个,1
星星,1
冷眼,1
现出,1
